2025-11-22 13:52:50,190 - INFO - Partner found by old_code_partner: HHO001 - ID: 3711, Name: บริษัท โฮมฮับ จำกัด
2025-11-22 13:52:50,190 - INFO - Partner found: HHO001 - ID: 3711, Name: บริษัท โฮมฮับ จำกัด
2025-11-22 13:52:50,562 - INFO - Partner found by old_code_partner: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-11-22 13:52:50,562 - INFO - Partner found: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-11-22 13:52:50,900 - INFO - Partner found by old_code_partner: JCH001 - ID: 243, Name: บริษัท เจี้ยบเซ้งโฮมเซรามิค จำกัด
2025-11-22 13:52:50,900 - INFO - Partner found: JCH001 - ID: 243, Name: บริษัท เจี้ยบเซ้งโฮมเซรามิค จำกัด
2025-11-22 13:52:51,221 - INFO - Partner found by old_code_partner: FIP001 - ID: 242, Name: บริษัท ฟ้าทวีพร จำกัด
2025-11-22 13:52:51,221 - INFO - Partner found: FIP001 - ID: 242, Name: บริษัท ฟ้าทวีพร จำกัด
2025-11-22 13:52:51,448 - INFO - Partner found by old_code_partner: HHO001 - ID: 3711, Name: บริษัท โฮมฮับ จำกัด
2025-11-22 13:52:51,449 - INFO - Partner found: HHO001 - ID: 3711, Name: บริษัท โฮมฮับ จำกัด
2025-11-22 13:52:51,690 - INFO - Partner found by old_code_partner: SMC008 - ID: 512, Name: บริษัท ศิริมหาชัย อุบลราชธานี จำกัด
2025-11-22 13:52:51,690 - INFO - Partner found: SMC008 - ID: 512, Name: บริษัท ศิริมหาชัย อุบลราชธานี จำกัด
2025-11-22 13:52:51,952 - INFO - Partner found by old_code_partner: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-11-22 13:52:51,952 - INFO - Partner found: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-11-22 13:52:52,216 - INFO - Partner found by old_code_partner: SRT001 - ID: 270, Name: บริษัท สุราษฎร์สุขภัณฑ์เทรดดิ้ง จำกัด
2025-11-22 13:52:52,217 - INFO - Partner found: SRT001 - ID: 270, Name: บริษัท สุราษฎร์สุขภัณฑ์เทรดดิ้ง จำกัด
2025-11-22 13:52:52,438 - INFO - Partner found by old_code_partner: WST001 - ID: 264, Name: บริษัท เอเชี่ยนวัสดุ จำกัด
2025-11-22 13:52:52,439 - INFO - Partner found: WST001 - ID: 264, Name: บริษัท เอเชี่ยนวัสดุ จำกัด
2025-11-22 13:52:52,664 - INFO - Partner not found in old_code_partner, searching in partner_code field: CBY001
2025-11-22 13:52:52,793 - WARNING - Partner NOT found in both old_code_partner and partner_code fields: CBY001
2025-11-22 13:52:53,043 - INFO - Partner found by old_code_partner: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-11-22 13:52:53,043 - INFO - Partner found: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-11-22 13:52:53,295 - INFO - Partner found by old_code_partner: HHO001 - ID: 3711, Name: บริษัท โฮมฮับ จำกัด
2025-11-22 13:52:53,295 - INFO - Partner found: HHO001 - ID: 3711, Name: บริษัท โฮมฮับ จำกัด
2025-11-22 13:52:53,511 - INFO - Partner found by old_code_partner: DOHUD01 - ID: 229, Name: บริษัท ดูโฮม จำกัด (มหาชน)
2025-11-22 13:52:53,511 - INFO - Partner found: DOHUD01 - ID: 229, Name: บริษัท ดูโฮม จำกัด (มหาชน)
2025-11-22 13:52:53,758 - INFO - Partner not found in old_code_partner, searching in partner_code field: SHP001
2025-11-22 13:52:53,888 - WARNING - Partner NOT found in both old_code_partner and partner_code fields: SHP001
2025-11-22 13:52:54,093 - INFO - Partner found by old_code_partner: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-11-22 13:52:54,094 - INFO - Partner found: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-11-22 13:52:54,333 - INFO - Partner not found in old_code_partner, searching in partner_code field: SBD001
2025-11-22 13:52:54,463 - WARNING - Partner NOT found in both old_code_partner and partner_code fields: SBD001
2025-11-22 13:52:54,723 - INFO - Partner found by old_code_partner: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-11-22 13:52:54,723 - INFO - Partner found: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-11-22 13:52:54,987 - INFO - Partner found by old_code_partner: ITH002 - ID: 2154, Name: บริษัท อินเตอร์โฮมแคร์ จำกัด
2025-11-22 13:52:54,987 - INFO - Partner found: ITH002 - ID: 2154, Name: บริษัท อินเตอร์โฮมแคร์ จำกัด
2025-11-22 13:52:55,257 - INFO - Partner found by old_code_partner: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-11-22 13:52:55,257 - INFO - Partner found: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-11-22 13:52:55,507 - INFO - Partner found by old_code_partner: SCG002 - ID: 989, Name: บริษัท เอสซีจีโฮม รีเทล จำกัด
2025-11-22 13:52:55,508 - INFO - Partner found: SCG002 - ID: 989, Name: บริษัท เอสซีจีโฮม รีเทล จำกัด
2025-11-22 13:52:55,765 - INFO - Partner found by old_code_partner: ITH002 - ID: 2154, Name: บริษัท อินเตอร์โฮมแคร์ จำกัด
2025-11-22 13:52:55,765 - INFO - Partner found: ITH002 - ID: 2154, Name: บริษัท อินเตอร์โฮมแคร์ จำกัด
2025-11-22 13:52:55,989 - INFO - Partner found by old_code_partner: ITH002 - ID: 2154, Name: บริษัท อินเตอร์โฮมแคร์ จำกัด
2025-11-22 13:52:55,989 - INFO - Partner found: ITH002 - ID: 2154, Name: บริษัท อินเตอร์โฮมแคร์ จำกัด
2025-11-22 13:52:56,236 - INFO - Partner found by old_code_partner: ITH002 - ID: 2154, Name: บริษัท อินเตอร์โฮมแคร์ จำกัด
2025-11-22 13:52:56,237 - INFO - Partner found: ITH002 - ID: 2154, Name: บริษัท อินเตอร์โฮมแคร์ จำกัด
2025-11-22 13:52:56,480 - INFO - Partner found by old_code_partner: DOHUD01 - ID: 229, Name: บริษัท ดูโฮม จำกัด (มหาชน)
2025-11-22 13:52:56,480 - INFO - Partner found: DOHUD01 - ID: 229, Name: บริษัท ดูโฮม จำกัด (มหาชน)
2025-11-22 13:52:56,723 - INFO - Partner found by old_code_partner: DOHUD01 - ID: 229, Name: บริษัท ดูโฮม จำกัด (มหาชน)
2025-11-22 13:52:56,723 - INFO - Partner found: DOHUD01 - ID: 229, Name: บริษัท ดูโฮม จำกัด (มหาชน)
2025-11-22 13:52:57,079 - INFO - Partner found by old_code_partner: DOHUD01 - ID: 229, Name: บริษัท ดูโฮม จำกัด (มหาชน)
2025-11-22 13:52:57,080 - INFO - Partner found: DOHUD01 - ID: 229, Name: บริษัท ดูโฮม จำกัด (มหาชน)
2025-11-22 13:52:57,368 - INFO - Partner found by old_code_partner: DOHUD01 - ID: 229, Name: บริษัท ดูโฮม จำกัด (มหาชน)
2025-11-22 13:52:57,370 - INFO - Partner found: DOHUD01 - ID: 229, Name: บริษัท ดูโฮม จำกัด (มหาชน)
2025-11-22 13:52:57,620 - INFO - Partner found by old_code_partner: WST001 - ID: 264, Name: บริษัท เอเชี่ยนวัสดุ จำกัด
2025-11-22 13:52:57,621 - INFO - Partner found: WST001 - ID: 264, Name: บริษัท เอเชี่ยนวัสดุ จำกัด
2025-11-22 13:52:57,843 - INFO - Partner found by old_code_partner: DOHUD01 - ID: 229, Name: บริษัท ดูโฮม จำกัด (มหาชน)
2025-11-22 13:52:57,844 - INFO - Partner found: DOHUD01 - ID: 229, Name: บริษัท ดูโฮม จำกัด (มหาชน)
2025-11-22 13:52:58,100 - INFO - Partner found by old_code_partner: DOHUD01 - ID: 229, Name: บริษัท ดูโฮม จำกัด (มหาชน)
2025-11-22 13:52:58,101 - INFO - Partner found: DOHUD01 - ID: 229, Name: บริษัท ดูโฮม จำกัด (มหาชน)
2025-11-22 13:52:58,317 - INFO - Partner found by old_code_partner: DOHUD01 - ID: 229, Name: บริษัท ดูโฮม จำกัด (มหาชน)
2025-11-22 13:52:58,318 - INFO - Partner found: DOHUD01 - ID: 229, Name: บริษัท ดูโฮม จำกัด (มหาชน)
